smiles,lgK
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,29.01602267267539
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,28.39976603665039
O=C(O)N1CCN(CS(O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.84482121871792
O=C(O)N1CCN(C[SH](=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.354941962047413
O=C(O)N1CCN(CP(=O)(O)CC[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.14487280190367
NP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.003231720715338
O=C(O)N1CCN(CP(O)(O)=S)CCN(C(=O)O)CCN(C(=O)O)CC1,25.555104910841045
O=C(O)CCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.385080516579713
O=C(O)NCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.33693472366776
O=C(O)N1CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(C(=O)O)CC1,24.994554248613987
NC(=O)N1CCN(C(=O)O)CCN(CP(=O)(O)O)CCN(C(=O)O)CC1,24.81530578705899
NC(=O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.75184855052821
O=P(O)(O)CN1CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CC1,24.648000664115475
O=C(O)CN1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.60700385217315
NCOCCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.56940976900558
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)SP(=O)(O)O)n1)CP(=O)(O)O,24.43745548870592
O=C(O)NCC1CCN(C(=O)O)CCN(C(=O)O)CCN1CP(=O)(O)O,24.291630048064953
O=C(O)N1CCN(C[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.265530732309756
O=P(O)(O)CN(Cc1cncc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,24.145547903566698
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[SH](=O)(O)O)n1)CP(=O)(O)O,24.060569725512643
O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,24.048836730972894
O=C(O)NCP(=O)(O)ON1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.960568061893376
Nc1ccc(CP(=O)(O)CN2CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC2)cc1,23.86047980365595
O=C(O)CCP(=O)(O)CN1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.815907946087883
O=C(O)N1CCN(OP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.780543838015333
C=CC1CN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CCN1CP(=O)(O)O,23.769883779975036
O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,23.762210331629262
NC=CC=CCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.7409121786158
CP(=O)(O)CN(CCNC(=O)O)N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.73692824077301
O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.66438330270838
NP(=O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,23.6496147640842
O=C(O)N1CCN(COCO[PH](=O)CC[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.53754073751246
N=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.52165658793259
O=C(O)N1CCNCP(=O)(O)OCCN(C(=O)O)CCN(C(=O)O)CC1,23.515221365334916
CP(=O)(O)CN(CCOC(=O)O)N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.440953034926427
O=C(O)COCN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.31460710334715
O=C(O)N1CCN(CP(=O)(O)O)CCN([PH](=O)O)CCN(C(=O)O)CC1,23.27227750185669
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)S)CCN(C(=O)O)CC1,23.27208773299509
O=C(O)N1CCN(C(=O)O)CC[SH](CP(=O)(O)O)CCN(C(=O)O)CC1,23.265389074026025
NCOCCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CS1,23.234139677033426
O=P(O)(O)CN(Cc1ccnc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,23.213400455785077
CC(O)N1CCN(C(=O)O)CCN(CP(=O)(O)O)CCN(C(=O)O)CC1,23.15183657647548
O=P(O)(O)CN1CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)SCN(CP(=O)(O)O)CC1,23.107777828231843
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)NP(=O)(O)O)n1)CP(=O)(O)O,23.08272669466037
O=P(O)(O)CN(Cc1cccc(CNCOP(=O)(O)CP(=O)(O)O)n1)CP(=O)(O)O,23.010824591720073
