smiles,lgK
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,29.016022672675394
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,28.39976603665039
O=C(O)N1CCN(CS(O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.84482121871792
O=C(O)N1CCN(CP(=O)(O)CC[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.14487280190367
O=C(O)N1CCN(CP(O)CC[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.985087870561276
O=C(O)N1CCN(SP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.897730585770542
CP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.489707786050943
O=C(O)CCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.385080516579713
O=C(O)N1CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(C(=O)O)CC1,24.994554248613987
O=C(O)N1CCN(NP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.80524531404496
O=P(O)(O)CN1CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CC1,24.648000664115475
O=C(O)CN1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.607003852173154
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)SP(=O)(O)O)n1)CP(=O)(O)O,24.43745548870592
O=C(O)NCC1CCN(C(=O)O)CCN(C(=O)O)CCN1CP(=O)(O)O,24.291630048064953
O=C(O)COCN1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.19084793694531
O=C(O)OCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.157463080195313
O=P(O)(O)CN(Cc1cncc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,24.145547903566694
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[SH](=O)(O)O)n1)CP(=O)(O)O,24.060569725512643
