smiles,lgK
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,29.016022672675394
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,28.39976603665039
NP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.003231720715338
O=C(O)CCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.385080516579713
O=C(O)N1CCN(COCS[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.65066745822438
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[SH](=O)(O)O)n1)CP(=O)(O)O,24.060569725512643
N=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,23.879595646011097
NP(=O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,23.6496147640842
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)NP(=O)(O)O)n1)CP(=O)(O)O,23.082726694660366
O=P(O)(O)CN(Cc1cccc(CNCOP(=O)(O)CP(=O)(O)O)n1)CP(=O)(O)O,23.010824591720073
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CS(O)(O)O)n1)CP(=O)(O)O,22.866319431389485
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(O)O)CCN(C(=O)O)CC1,22.831317958321506
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(O)O)CC1,22.811319734602243
O=P(=O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,22.656463429378178
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)OP(=O)(O)O)n1)CP(=O)(O)O,22.357461861428526
CP(=O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,22.23091796290348
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)S)n1)CP(=O)(O)O,22.115084682106463
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CC[SH](C(=O)O)CC1,22.078770841857157
O=P(O)(O)CN(Cc1cccc(NN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,22.02672875458316
O=[PH](O)OCOCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,22.003096721472588
O=PCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,21.562762341402067
CCN(CCN(CCN(CCNC(=O)O)CP(=O)(O)O)C(=O)O)C(=O)O,21.380363143809156
O=P(O)(O)COP(=O)(O)COCc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,21.37509742950168
O=C(O)N1CCC(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,21.28530750439662
CCN(CCN(CCN(CCNCP(=O)(O)O)C(=O)O)C(=O)O)C(=O)O,21.11428184396901
