smiles,lgK
C[PH](O)=CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.39721170057697
C=[P@H](O)N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.37293643945834
CP(O)[CH]N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,24.19171422179557
O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.66438330270838
C=S(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.64995825758806
N=C(C=O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.566244740513348
CNP(C)N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.491166606113413
O=CC(=CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1)CO,23.486617956290267
CP(O)CN1[CH]CN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.396468897090287
NCC(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.37410931100325
COC(CCO)N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.305827699907496
C=CC1CN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CCN1CPO,23.288942973299463
O=C(CO)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.27657715451213
CP(O)CN1C[CH]N(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.199176609523512
CC1N(CP(C)O)CCN(C(=O)O)CCN(C(=O)O)CCN1C(=O)O,23.194381220916874
O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.185349413964193
O=C(O)CN1CCN(CCCO)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.160378543637233
O=CC(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.14879494574533
O=C[C@H](O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.14879494574533
O=C(O)N1CCN(COCCO)CCN(C(=O)O)CCN(C(=O)O)CC1,23.130812626823747
NCC(=O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,23.111436776517042
CP(O)CN1CCN(C(=O)O)C[CH]N(C(=O)O)CCN(C(=O)O)CC1,22.990663663774633
CP(O)CN1CCN(C(=O)O)[CH]CN(C(=O)O)CCN(C(=O)O)CC1,22.974598327594954
O=C=C(CO)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.879685684931808
O=CC(O)[CH]N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.867129644413296
O=C(O)CN1CCN(C(=O)O)CCN(CC(=O)O)CCN(C(=O)O)CC1,22.86509525290208
O=C(O)N1CCN(C[CH+](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.855575869570625
C=CC(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.833622718032473
O=C(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.806816715467257
C=CN1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.798202052073588
C[C@@H](O)N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.685421486192155
C[C@H](O)N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.685421486192155
CC(O)N1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,22.685421486192155
O=C(O)CN1CCN(C[N]O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,22.682555266001962
O=C(O)N1CCN(CPO)CCN(C(=O)O)CCN(C(=O)O)CC1,22.65023376903306
O=C(O)CN1CCN(CC(=O)O)CCN(C(=O)O)CCN(CC(=O)O)CC1,22.645275032131686
