smiles,lgK
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,29.016022672675394
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[P+](=O)(O)O)n1)CP(=O)(O)O,24.87659751750122
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[S](=O)(O)O)n1)CP(=O)(O)O,24.391812042259694
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[S+](=O)(O)O)n1)CP(=O)(O)O,24.386252340301567
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[P+](O)(O)O)n1)CP(=O)(O)O,24.1220821797745
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[SH](=O)(O)O)n1)CP(=O)(O)O,24.060569725512643
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)C[P](O)(O)O,23.58794837406008
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[SH](O)(O)O)n1)CP(=O)(O)O,23.08804186749702
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[SH2](O)(O)O)n1)CP(=O)(O)O,23.042132422757604
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CS(O)(O)O)n1)CP(=O)(O)O,22.866319431389485
O=P(O)(O)CN(C=[S+](=O)(O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,22.76880097733975
O=P(O)(O)CN(C=S(=O)(O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,22.573303201830186
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)C[S+](O)(O)O)n1)CP(=O)(O)O,22.427440431217775
O=P(O)(O)CN(COC[SH3](O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,22.272043045270465
O=[PH](O)COCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,21.94250162438673
O=[P@H](O)COCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,21.92319162593902
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)C[Si](O)(O)O,21.869821971197926
O=P(O)(O)CN(Cc1cccc(CN(C=S(=O)(O)O)CS(O)(O)O)n1)CP(=O)(O)O,20.967276076785296
O=P(O)(O)CN(COC[O+](O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,20.69127287761453
O=P(O)(O)CN(C=S(=O)(O)O)Cc1cccc(CN(CP(=O)(O)O)CS(O)(O)O)n1,20.65140044951984
O=[O+]COCOCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,20.629556125336933
O=P(O)(O)CN(COCC(O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,20.52921552097697
O=P(O)(O)CN(COCOCCO)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,20.329367905610837
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)C[N+](O)(O)O,20.292294783851197
O=P(O)(O)CN(COCOCNO)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,20.192948636119826
O=P(O)(O)CN(COCN(O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,20.140343607667624
O=P(O)(O)CN(COCB(O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,20.128213209851644
O=P(O)(O)CN(COCOCO)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,19.942997798452787
O=C(O)COCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,19.91377692244973
O=[N+](O)COCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,19.88739599167991
O=P(O)(O)CN(COC[NH+](O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,19.703642233621622
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CC(O)(O)O,19.653790140008645
O=NCOCOCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,19.363078891031538
O=P(O)(O)CN(COCOO)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,19.119241936086638
O=P(O)(O)CN(COCOC[CH-]O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,18.993035167031938
O=P(O)(O)CN(Cc1cccc(CN(C=S(=O)(O)O)COCN(O)O)n1)CP(=O)(O)O,18.971588467931134
O=P(O)(O)CN(C=S(=O)(O)O)Cc1cccc(CN(COCN(O)O)CP(=O)(O)O)n1,18.86847284878988
O=P(O)(O)CN(COC[BH-](O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,18.788229484796396
COCOOCN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,18.755224567339503
O=P(O)(O)CN(COC[C-](O)O)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,18.752935298720022
O=PCN(CNCP(=O)(O)O)CC(O)(O)C=C1C=CCN(CP(=O)(O)O)N1CP(=O)(O)O,18.714023741900057
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)C[B-](O)(O)O,18.69790921010435
O=P(O)(O)CN(COCOCOO)Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1,18.619415392433357
