smiles,lgK
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,29.016022672675394
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,28.39976603665039
N=P(O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,27.039173221505724
O=C(O)N1CCN(CS(O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.84482121871792
O=C(O)N1CCN(CP(=O)(O)CCO)CCN(C(=O)O)CCN(C(=O)O)CC1,26.625042942292126
O=C(O)N1CCN(C[SH](=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.354941962047413
O=C(O)N1CCN(CP(=O)(O)CC[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.14487280190367
NP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.003231720715338
O=C(O)N1CCN(CP(O)CC[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.985087870561276
O=C(O)N1CCN(SP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.897730585770542
O=C(O)N1CCN(CP(=O)(O)CO[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.724139215333462
O=C(O)N1CCN(CP(O)(O)=S)CCN(C(=O)O)CCN(C(=O)O)CC1,25.555104910841045
C=[PH](O)CCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.55147008688123
O=C(O)N1CCN(CP(=O)(O)CC[PH](O)=P)CCN(C(=O)O)CCN(C(=O)O)CC1,25.548965001522664
N[PH](=O)CCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.54226490400256
O=C(O)N1CCN(CP(=O)(O)CC=CPO)CCN(C(=O)O)CCN(C(=O)O)CC1,25.512112178062093
CP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.489707786050943
O=C(O)SCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.458348390504195
O=C(O)CCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,25.385080516579713
