smiles,lgK
O=P(O)(O)CN(Cc1cccc(CN(CP(=O)(O)O)CP(=O)(O)O)n1)CP(=O)(O)O,29.016022672675394
O=C(O)N1CCN(CP(=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,28.39976603665039
N=P(O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,27.039173221505724
O=C(O)N1CCN(CS(O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.84482121871792
O=C(O)N1CCN(CP(=O)(O)CO)CCN(C(=O)O)CCN(C(=O)O)CC1,26.655936943140027
O=C(O)N1CCN(C[P@](=O)(O)CO)CCN(C(=O)O)CCN(C(=O)O)CC1,26.631052058732944
O=C(O)N1CCN(CP(=O)(O)CCO)CCN(C(=O)O)CCN(C(=O)O)CC1,26.625042942292126
O=C(O)N1CCN(C[P@@](=O)(O)CCO)CCN(C(=O)O)CCN(C(=O)O)CC1,26.601298050281216
O=C(O)N1CCN(C[P@](=O)(O)CCO)CCN(C(=O)O)CCN(C(=O)O)CC1,26.601298050281216
O=C(O)N1CCN(CP(=O)(O)[CH]O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.528464528352778
N#S(O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.40328379419721
N=CP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.369262378531964
O=C(O)N1CCN(C[SH](=O)(O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.354941962047413
N=[S](O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.324370057090352
N=CCP(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.184320079476898
O=C(O)N1CCN(CP(=O)(O)CC[PH](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.14487280190367
[N]P(=O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.133901353652142
O=C(O)N1CCN(CP(=O)(O)CC[P@@H](=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.118302835002535
NS(O)(O)CN1CCN(C(=O)O)CCN(C(=O)O)CCN(C(=O)O)CC1,26.111105557830456
